:START_ID,:END_ID,score
0,24,2.9433835
0,3509,1.6776476
0,2462,1.5494561
0,5394,1.5398518
0,941,1.5197287
0,2093,1.4924232
0,6287,1.4244117
0,5432,1.4164354
0,267,1.4155452
1,2321,2.1550972
1,3053,1.9156104
1,4341,1.7003914
1,165,1.6671665
1,4401,1.6418972
1,7724,1.5655527
1,1566,1.5581154
1,6151,1.5355437
1,4622,1.5267085
2,909,1.8015412
2,8764,1.7201543
2,8765,1.6835858
2,1371,1.6630265
2,1180,1.6348406
2,589,1.6324142
2,4649,1.5975136
2,4556,1.5770185
2,800,1.550021
3,4,3.304097
3,4504,2.542105
3,1314,2.4346478
3,6737,2.4170375
3,3494,2.3986278
3,6145,2.373041
3,1180,2.3682292
3,1453,2.3612485
3,5867,2.332317
4,3,2.0255926
4,7610,1.539583
4,11,1.5162141
4,4202,1.5022388
4,4723,1.4901794
4,1180,1.4813536
4,12,1.4725664
4,4369,1.4440737
4,2320,1.4386282
5,5234,4.026257
5,2325,3.258948
5,5463,3.2115452
5,12,3.0036566
5,4262,2.9463634
5,6513,2.9315248
5,3214,2.9236512
5,1773,2.8339808
5,6830,2.8052804
6,6511,1.845049
6,5738,1.7774789
6,5746,1.4575336
6,5532,1.404373
6,5175,1.3841559
6,5861,1.3794124
6,3428,1.3253123
6,734,1.3173852
6,6546,1.2730423
7,4643,1.8907489
7,2459,1.8899109
7,8981,1.869964
7,24,1.8676187
7,6087,1.8056642
7,8426,1.7706028
7,7745,1.6997947
7,8817,1.6551608
7,3194,1.6477053
8,6371,2.4938195
8,945,2.398585
8,4141,2.3255486
8,4120,2.250363
8,5969,2.1807268
8,1876,2.1534708
8,4781,2.063134
8,6362,2.0570278
8,4157,1.9480731
9,4962,1.6269253
9,2006,1.6142125
9,3961,1.6063838
9,119,1.5975329
9,2811,1.5669056
9,3522,1.55844
9,941,1.5482652
9,2285,1.5298387
9,3779,1.5238031
10,4068,2.0060105
10,102,1.898327
10,8936,1.8711278
10,4039,1.802428
10,6097,1.797119
10,7606,1.6986903
10,4917,1.6387715
10,3499,1.6258382
10,3434,1.5905738
11,8019,2.0475814
11,1261,1.953161
11,3254,1.8376058
11,6855,1.8319393
11,7087,1.7985381
11,7622,1.7983204
11,4458,1.7733545
11,3260,1.7692883
11,5543,1.755333
12,801,2.7316525
12,4352,1.686166
12,5,1.626703
12,4616,1.486724
12,4,1.3908004
12,4230,1.3833436
12,3955,1.3810854
12,802,1.3685298
12,36,1.3617291
13,5371,2.3147578
13,24,2.289299
13,6335,2.242179
13,7659,2.1569905
